TimeSeconds,MissionState,WaypointIndex,PositionXMetres,PositionYMetres,PositionZMetres,GroundVelocityXMetresPerSecond,GroundVelocityYMetresPerSecond,GroundVelocityZMetresPerSecond,GroundSpeedMetresPerSecond,AirVelocityXMetresPerSecond,AirVelocityYMetresPerSecond,AirVelocityZMetresPerSecond,AirSpeedMetresPerSecond,YawDegrees,PitchDegrees,RollDegrees,TargetDistanceMetres,DistanceTravelledMetres,WindXMetresPerSecond,WindYMetresPerSecond,WindZMetresPerSecond,WindSpeedMetresPerSecond,BirdActive,BirdPositionXMetres,BirdPositionYMetres,BirdPositionZMetres,BirdDistanceMetres,BirdClearanceMetres,BirdLidarHits,APFAvoidanceActive,APFEmergencyActive,APFObstacleCount,RepulsiveSpeedMetresPerSecond,TangentialSpeedMetresPerSecond,MapCoveragePercent,MapFreeCells,MapOccupiedCells,MapUpdateCount,FPVTargetVisible,FPVBirdVisible,FPVForwardObstacleDistanceMetres
29.2000000000003,LANDING_DESCENT,7,28.0310389660588,-0.00747548440446128,1.91590527072983,0.035285971434718,0.14544248176112,-0.408618844596549,0.435164308555221,-0.0821883038570227,-0.141013892397432,-0.379691065289568,0.41328578514231,-0.0205976938615074,0.847553070308917,-1.96456444215516,1.21632435134287,32.6995372746573,0.117474275291741,0.286456374158551,-0.028927779306981,0.310957032509344,0,12.5,5,4,16.4508793969416,NaN,0,0,0,0,0,0,92.65625,5213,124,184,0,0,NaN
29.3000000000003,LANDING_DESCENT,7,28.0345967838295,0.00993073788019478,1.87529135973726,0.0350383783225806,0.179739783061033,-0.405849166426513,0.445250068455243,-0.094834858318661,-0.17830176822518,-0.384436361667733,0.434253943075788,-0.0170569502866992,0.866061498095358,-2.70074510425775,1.17584239474482,32.7438702605367,0.129873236641242,0.358041551286212,-0.0214128047587805,0.381469944098807,0,12.5,5,4,16.454144623253,NaN,0,0,0,0,0,0,92.6736111111111,5213,125,185,0,0,NaN
29.4000000000003,LANDING_DESCENT,7,28.0377066529555,0.0287309509921316,1.83478637147377,0.0280726787750895,0.19015992987417,-0.404705792794427,0.448035325554497,-0.10668830571964,-0.221480888183147,-0.389290143209862,0.460416109631362,-0.0141248605324225,0.768653165082519,-3.04840225720894,1.13577610826457,32.7886353273421,0.134760984494729,0.411640818057317,-0.0154156495845646,0.433412422854952,0,12.5,5,4,16.4566701992863,NaN,0,0,0,0,0,0,92.6388888888889,5211,125,186,0,0,NaN
29.5000000000003,LANDING_DESCENT,7,28.039957937627,0.0487500266459035,1.79454989250483,0.0203866573051607,0.201956701715641,-0.401440758589341,0.449840869442433,-0.11664266980655,-0.270197111808401,-0.394641038540817,0.492294160995005,-0.0116967970069162,0.651150326789117,-3.42374802554439,1.09636338367337,32.8336341120731,0.137029327111711,0.472153813524042,-0.00679972004852459,0.491683329295109,0,12.5,5,4,16.4581037540327,NaN,0,0,0,0,0,0,92.6388888888889,5211,125,186,0,0,NaN
29.6000000000003,LANDING_DESCENT,7,28.0412050809591,0.0686743686243691,1.75440586789897,0.0106445351789895,0.198202204358454,-0.400952848624203,0.447393123283752,-0.124219542117521,-0.321238762918987,-0.400038790009212,0.527878651735076,-0.00968611760142106,0.490428690174098,-3.53483820989663,1.05744303007897,32.8784684186902,0.13486407729651,0.519440967277441,-0.000914058614991701,0.536663836432374,0,12.5,5,4,16.4587278019055,NaN,0,0,0,0,0,0,92.6388888888889,5210,126,187,0,0,NaN
29.7000000000003,LANDING_DESCENT,7,28.0421512264811,0.0878096632442561,1.71427524695115,0.00842075892305261,0.190139752780599,-0.401182970617835,0.444040325513414,-0.131047567503013,-0.372761550804505,-0.405288222919752,0.566024012162105,-0.00802107398574351,0.451468501713024,-3.56187109790388,1.01894138174419,32.9229379906976,0.139468326426066,0.562901303585105,0.00410525230191631,0.579936328186432,0,12.5,5,4,16.4594233282344,NaN,0,0,0,0,0,0,92.65625,5210,127,188,0,0,NaN
29.8000000000003,LANDING_DESCENT,7,28.0426996592217,0.105188570044737,1.67410304651967,0.00215773768796484,0.166386774594416,-0.401843244238841,0.434933566803322,-0.136856528170533,-0.422181743504051,-0.410259775898669,0.604384163898623,-0.00664225136758608,0.342200288023143,-3.3083003984117,0.980695998464664,32.9667182295576,0.139014265858498,0.588568518098468,0.00841653165982746,0.60482121706665,0,12.5,5,4,16.4603914980719,NaN,0,0,0,0,0,0,92.65625,5210,127,188,0,0,NaN
29.9000000000003,LANDING_DESCENT,7,28.042552061909,0.119641862053249,1.63404389519886,-0.00346254773154567,0.13865355102577,-0.400879328271033,0.42419456889956,-0.140838948052452,-0.466250707378147,-0.415341905994462,0.640104858827252,-0.00550044835749303,0.237620518148747,-2.9583663101475,0.942636118174207,33.0093094434624,0.137376400320907,0.604904258403917,0.0144625777234294,0.620476110220796,0,12.5,5,4,16.4616696735666,NaN,0,0,0,0,0,0,92.6736111111111,5211,127,189,0,0,NaN
30.0000000000003,LANDING_DESCENT,7,28.0419028772801,0.130648539005252,1.5939772400562,-0.00586910723745077,0.102064321457213,-0.40001213221278,0.412869565421939,-0.143393271680734,-0.503243298167063,-0.420237742215925,0.671129799290798,-0.00455492128482968,0.182205342798973,-2.4277642577828,0.904444690186777,33.0508723791202,0.137524164443283,0.605307619624277,0.0202256100031447,0.621063028589716,0,12.5,5,4,16.4636045329954,NaN,0,0,0,0,0,0,92.6736111111111,5210,128,190,0,0,NaN
30.1000000000003,LANDING_DESCENT,7,28.040886123249,0.137024503437969,1.55403949641128,-0.0125573172782021,0.05350168181485,-0.399642884693184,0.403403707791751,-0.144815896245013,-0.529711781478593,-0.425283997106241,0.694573749458711,-0.00377193031598477,0.0531798814763161,-1.65558212437168,0.865927740084116,33.0913421629574,0.132258578966811,0.583213463293443,0.025641112413057,0.598571417729606,0,12.5,5,4,16.4666449212058,NaN,0,0,0,0,0,0,92.6736111111111,5210,128,190,0,0,NaN
